Floor,FloorAll,Area,City,Price,Link,PriceBySquare
4,4,30,Истра,2e4,https://www.avito.ru/istra/kvartiry/1-k_kvartira_30_m_44_et._1083404623,666.6666666666666
8,14,40,Электросталь,18e3,https://www.avito.ru/elektrostal/kvartiry/1-k_kvartira_40_m_814_et._1057597344,450
3,14,45,Лобня,25e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_45_m_314_et._642640607,555.5555555555555
14,17,46,Балашиха,28e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_46_m_1417_et._979857296,608.695652173913
9,17,42,Балашиха,25e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_42_m_917_et._471503442,595.2380952380952
6,17,35,Лобня,25e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_35_m_617_et._879994233,714.2857142857143
14,17,42,Лобня,35e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_42_m_1417_et._656960622,833.3333333333334
1,17,40,Железнодорожный,23e3,https://www.avito.ru/moskovskaya_oblast_zheleznodorozhnyy/kvartiry/1-k_kvartira_40_m_117_et._244151444,575
3,9,50,Сергиев Посад,17e3,https://www.avito.ru/sergiev_posad/kvartiry/1-k_kvartira_50_m_39_et._1129439971,340
13,15,35,Павловский Посад,25e3,https://www.avito.ru/pavlovskiy_posad/kvartiry/1-k_kvartira_35_m_1315_et._1026961185,714.2857142857143
6,12,38,Щёлково,17e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_38_m_612_et._904362663,447.36842105263156
5,5,35,Балашиха,18e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_35_m_55_et._1104528808,514.2857142857143
5,5,44,Апрелевка,15e3,https://www.avito.ru/aprelevka/kvartiry/1-k_kvartira_44_m_55_et._1042648985,340.90909090909093
12,16,45,Солнечногорск,22e3,https://www.avito.ru/solnechnogorsk/kvartiry/1-k_kvartira_45_m_1216_et._1222555727,488.8888888888889
11,16,43,Солнечногорск,21e3,https://www.avito.ru/solnechnogorsk/kvartiry/1-k_kvartira_43_m_1116_et._964731585,488.3720930232558
2,3,32,Люберцы,16e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_32_m_23_et._1120627610,500
1,9,40,Красногорск,23e3,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/kvartiry/1-k_kvartira_40_m_19_et._1108635777,575
4,4,30,Шатура,1e4,https://www.avito.ru/shatura/kvartiry/1-k_kvartira_30_m_44_et._718614883,333.3333333333333
2,2,40,Истра,17e3,https://www.avito.ru/istra/kvartiry/1-k_kvartira_40_m_22_et._1134446309,425
13,16,37,Ивантеевка,18e3,https://www.avito.ru/moskovskaya_oblast_ivanteevka/kvartiry/1-k_kvartira_37_m_1316_et._1086129682,486.4864864864865
1,17,31,Железнодорожный,2e4,https://www.avito.ru/moskovskaya_oblast_zheleznodorozhnyy/kvartiry/1-k_kvartira_31_m_117_et._1193384379,645.1612903225806
1,5,33,Чехов,17e3,https://www.avito.ru/moskovskaya_oblast_chehov/kvartiry/1-k_kvartira_33_m_15_et._236578014,515.1515151515151
11,12,44,Лобня,22e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_44_m_1112_et._848737723,500
3,17,49.6,Видное,27e3,https://www.avito.ru/vidnoe/kvartiry/1-k_kvartira_49.6_m_317_et._1182348854,544.3548387096774
5,9,34,Сергиев Посад,13e3,https://www.avito.ru/sergiev_posad/kvartiry/1-k_kvartira_34_m_59_et._991844871,382.3529411764706
7,17,42,Раменское,21e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_42_m_717_et._969726939,500
3,5,36,Домодедово,19e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_36_m_35_et._1213411654,527.7777777777778
9,9,34,Пушкино,18e3,https://www.avito.ru/pushkino/kvartiry/1-k_kvartira_34_m_99_et._1055363054,529.4117647058823
3,4,34,Серпухов,14e3,https://www.avito.ru/serpuhov/kvartiry/1-k_kvartira_34_m_34_et._627531129,411.7647058823529
10,16,42,Мытищи,23e3,https://www.avito.ru/mytischi/kvartiry/1-k_kvartira_42_m_1016_et._1170378534,547.6190476190476
2,5,38,Чехов,14e3,https://www.avito.ru/moskovskaya_oblast_chehov/kvartiry/1-k_kvartira_38_m_25_et._1192030261,368.42105263157896
1,14,39,Свердловский,16e3,https://www.avito.ru/sverdlovskiy/kvartiry/1-k_kvartira_39_m_114_et._1002315352,410.2564102564103
2,4,30,Домодедово,18e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_30_m_24_et._1081679431,600
3,20,33,Люберцы,25e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_33_m_320_et._971021610,757.5757575757576
11,21,40,Балашиха,21e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_40_m_1121_et._1015856143,525
2,10,38,Чехов,2e4,https://www.avito.ru/moskovskaya_oblast_chehov/kvartiry/1-k_kvartira_38_m_210_et._1154961078,526.3157894736842
3,3,40,Домодедово,18e3,https://www.avito.ru/domodedovo/kvartiry/1-k_kvartira_40_m_33_et._983910702,450
23,25,42,Люберцы,25e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_42_m_2325_et._890111598,595.2380952380952
4,10,36,Раменское,18e3,https://www.avito.ru/ramenskoe/kvartiry/1-k_kvartira_36_m_410_et._822366070,500
1,5,31,Егорьевск,12600,https://www.avito.ru/egorevsk/kvartiry/1-k_kvartira_31_m_15_et._663374298,406.4516129032258
4,25,42,Балашиха,18e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_42_m_425_et._733305436,428.57142857142856
4,4,30,Щербинка,2e4,https://www.avito.ru/scherbinka/kvartiry/1-k_kvartira_30_m_44_et._1087916409,666.6666666666666
10,17,39,Щёлково,18e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_39_m_1017_et._1211815518,461.53846153846155
5,9,40,Люберцы,24e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_40_m_59_et._1201618386,600
5,5,37,Люберцы,16e3,https://www.avito.ru/lyubertsy/kvartiry/1-k_kvartira_37_m_55_et._1047124728,432.43243243243245
3,17,51,Видное,28e3,https://www.avito.ru/vidnoe/kvartiry/1-k_kvartira_51_m_317_et._1212124033,549.0196078431372
3,5,31,Фрязино,16e3,https://www.avito.ru/fryazino/kvartiry/1-k_kvartira_31_m_35_et._1029377463,516.1290322580645
3,9,40,Сергиев Посад,16e3,https://www.avito.ru/sergiev_posad/kvartiry/1-k_kvartira_40_m_39_et._765608893,400
4,9,38,Сергиев Посад,15e3,https://www.avito.ru/sergiev_posad/kvartiry/1-k_kvartira_38_m_49_et._766087926,394.7368421052632
2,5,38,Сергиев Посад,15e3,https://www.avito.ru/sergiev_posad/kvartiry/1-k_kvartira_38_m_25_et._793942160,394.7368421052632
2,14,43,Селятино,25e3,https://www.avito.ru/selyatino/kvartiry/1-k_kvartira_43_m_214_et._1091958408,581.3953488372093
3,5,28,Лобня,17e3,https://www.avito.ru/lobnya/kvartiry/1-k_kvartira_28_m_35_et._988747386,607.1428571428571
6,17,43,Ивантеевка,2e4,https://www.avito.ru/moskovskaya_oblast_ivanteevka/kvartiry/1-k_kvartira_43_m_617_et._1079559450,465.1162790697674
2,4,30,Звенигород,15e3,https://www.avito.ru/zvenigorod/kvartiry/1-k_kvartira_30_m_24_et._1068576171,500
3,9,38,Серпухов,16e3,https://www.avito.ru/serpuhov/kvartiry/1-k_kvartira_38_m_39_et._1038440749,421.05263157894734
5,12,37,Щёлково,14e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_37_m_512_et._1205832841,378.3783783783784
8,18,45,Щёлково,18e3,https://www.avito.ru/schelkovo/kvartiry/1-k_kvartira_45_m_818_et._1085616719,400
1,9,32,Истра,18e3,https://www.avito.ru/istra/kvartiry/1-k_kvartira_32_m_19_et._1112456446,562.5
10,17,37,Балашиха,25e3,https://www.avito.ru/balashiha/kvartiry/1-k_kvartira_37_m_1017_et._853506703,675.6756756756756
1,5,32,Орехово-Зуево,11e3,https://www.avito.ru/orehovo-zuevo/kvartiry/1-k_kvartira_32_m_15_et._1177366531,343.75
