Floor,FloorAll,Link,Area,Address,Price,PriceBySquare,City
12,17,https://balashikha.cian.ru/rent/flat/164327980/,43,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, Ольгино мкр, район Железнодорожный (Ольгино), улица Граничная, 32",23e3,534.8837209302326,Балашиха городской округ
5,9,https://balashikha.cian.ru/rent/flat/164693499/,35,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, м. Щелковская, район Новый свет, Звездная улица, 8",2e4,571.4285714285714,Балашиха городской округ
6,9,https://reutov.cian.ru/rent/flat/164691993/,33,"Московская область, Реутов, м. Новокосино, Комсомольская улица, 32",28e3,848.4848484848485,м. Новокосино
1,4,https://www.cian.ru/rent/flat/162008611/,48,"Московская область, м. Пятницкое шоссе, Красногорск городской округ, д. Аристово, улица Весенняя, 3",1e4,208.33333333333334,Красногорск городской округ
1,4,https://elektrostal.cian.ru/rent/flat/163694875/,35,"Московская область, Электросталь городской округ, Электросталь, Полярный проезд",13e3,371.42857142857144,Электросталь
9,9,https://sergiyev-posad.cian.ru/rent/flat/164642465/,37,"Московская область, Сергиево-Посадский район, Пересвет, улица Гагарина, 7",13e3,351.35135135135135,Пересвет
1,4,https://elektrostal.cian.ru/rent/flat/163572482/,35,"Московская область, Электросталь городской округ, Электросталь, м. Измайловская, Полярный проезд",14e3,400,Электросталь
10,12,https://www.cian.ru/rent/flat/164525525/,30,"Московская область, м. Тушинская, Истра городской округ, с. Рождествено, Новоснегиревский ЖК, бульвар Сиреневый, 6",15e3,500,Истра городской округ
5,5,https://shchyolkovo.cian.ru/rent/flat/162229473/,34,"Московская область, Щелковский район, Щелково, Полевая улица, 12",15e3,441.1764705882353,Щелково
5,5,https://pushkino.cian.ru/rent/flat/164215177/,37,"Московская область, м. ВДНХ, Пушкинский район, Лесной пгт, Юбилейный мкр, 5",15e3,405.4054054054054,Пушкинский район
5,5,https://sergiyev-posad.cian.ru/rent/flat/164381541/,37,"Московская область, Сергиево-Посадский район, Сергиев Посад, м. ВДНХ, Центральная улица, 8а",15e3,405.4054054054054,Сергиев Посад
2,4,https://podolsk.cian.ru/rent/flat/164692225/,30,"Московская область, Подольск городской округ, Подольск, район Красная горка, проспект Ленина, 76",16e3,533.3333333333334,Подольск
8,9,https://balashikha.cian.ru/rent/flat/156105280/,32,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, район Южный, улица Карбышева, 11",16e3,500,Балашиха городской округ
5,9,https://pushkino.cian.ru/rent/flat/164216672/,22,"Московская область, Пушкинский район, Пушкино, м. ВДНХ, Дзержинец мкр, 30",16e3,727.2727272727273,Пушкино
4,9,https://noginsk.cian.ru/rent/flat/162457741/,30,"Московская область, Ногинский район, Ногинск городское поселение, Ногинск, улица Советской Конституции, 21",16e3,533.3333333333334,Ногинск городское поселение
13,17,https://staraya-kupavna.cian.ru/rent/flat/164245139/,46,"Московская область, Ногинский район, Старая Купавна, улица Чехова, 9",17e3,369.5652173913044,Старая Купавна
6,9,https://pushkino.cian.ru/rent/flat/163293339/,40,"Московская область, Пушкинский район, Пушкино, м. Комсомольская, Мамонтовка мкр, Акуловский проезд",17e3,425,Пушкино
2,3,https://www.cian.ru/rent/flat/151598371/,30,"Московская область, Люберцы городской округ, д. Мотяково, Кореневский Форт ЖК",17e3,566.6666666666666,д. Мотяково
5,5,https://solnechnogorsk.cian.ru/rent/flat/164652924/,32,"Московская область, Солнечногорский район, Солнечногорск, Набережная улица, 15",17e3,531.25,Солнечногорск
3,5,https://pushkino.cian.ru/rent/flat/164648396/,35,"Московская область, Пушкинский район, Пушкино, м. ВДНХ, Серебрянка мкр, 6",17e3,485.7142857142857,Пушкино
4,10,https://zvenigorod.cian.ru/rent/flat/164048399/,41,"Московская область, Звенигород городской округ, Звенигород, м. Фили, проезд Ветеранов, 10к1",18e3,439.0243902439024,Звенигород
5,5,https://pushkino.cian.ru/rent/flat/163739887/,35,"Московская область, Пушкинский район, Пушкино, улица Чехова, 11",18e3,514.2857142857143,Пушкино
4,22,https://odintsovo.cian.ru/rent/flat/164381265/,16,"Московская область, Одинцовский район, Одинцово, 9-й мкр, район Одинцовский парк, улица Белорусская, 6",18e3,1125,Одинцово
8,16,https://podolsk.cian.ru/rent/flat/164227659/,44,"Московская область, Подольск городской округ, Подольск, м. Бульвар Дмитрия Донского, район Силикатная, Профсоюзная улица, 7а",18e3,409.09090909090907,Подольск
4,9,https://krasnogorsk.cian.ru/rent/flat/163855609/,38,"Московская область, Красногорский район, Красногорск, район Чернево, улица Ленина, 47к3",18e3,473.6842105263158,Красногорск
1,3,https://balashikha.cian.ru/rent/flat/159824642/,25,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, м. Новокосино, Салтыковка мкр, Носовихинское шоссе, 260",18e3,720,Балашиха городской округ
4,9,https://pushkino.cian.ru/rent/flat/164655057/,35,"Московская область, Пушкинский район, Пушкино, Московский проспект, 20",18e3,514.2857142857143,Пушкино
2,5,https://pushkino.cian.ru/rent/flat/162140030/,35,"Московская область, м. Комсомольская, Пушкинский район, Правдинский пгт, улица Лермонтова",18e3,514.2857142857143,Пушкинский район
3,3,https://vidnoye.cian.ru/rent/flat/164398633/,30,"Московская область, м. Домодедовская, Ленинский район, д. Дроздово, 35Б",32900,1096.6666666666667,Ленинский район
6,9,https://reutov.cian.ru/rent/flat/164691993/,33,"Московская область, Реутов, м. Новокосино, Комсомольская улица, 32",28e3,848.4848484848485,м. Новокосино
6,17,https://ramenskoye.cian.ru/rent/flat/164522401/,43,"Московская область, м. Котельники, Раменский район, д. Островцы, Баулинская улица, 3",2e4,465.1162790697674,Раменский район
1,3,https://www.cian.ru/rent/flat/158721074/,34,"Московская область, м. Котельники, Люберцы городской округ, д. Марусино, 77к10",18e3,529.4117647058823,Люберцы городской округ
1,4,https://khimki.cian.ru/rent/flat/162297295/,18,"Московская область, Химки городской округ, Химки, Сходня мкр, район Сходня, Первомайская улица",19e3,1055.5555555555557,Химки
3,5,https://korolev.cian.ru/rent/flat/164708220/,36,"Московская область, Королев городской округ, Королев, район Костино, улица Горького, 25",19e3,527.7777777777778,Королев
3,17,https://podolsk.cian.ru/rent/flat/164522813/,43,"Московская область, Подольск городской округ, Подольск, район Силикатная, Профсоюзная улица, 7а",19e3,441.86046511627904,Подольск
10,15,https://podolsk.cian.ru/rent/flat/164372692/,38,"Московская область, Подольск городской округ, Подольск, м. Бульвар Дмитрия Донского, район Зеленовский, проспект Ленина, 158",19e3,500,Подольск
1,17,https://balashikha.cian.ru/rent/flat/159441658/,40,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, Новое Павлино мкр, район Железнодорожный (Павлино), улица Троицкая, 1",19e3,475,Балашиха городской округ
1,9,https://pushkino.cian.ru/rent/flat/164437901/,33,"Московская область, Пушкинский район, Пушкино, м. ВДНХ, Дзержинец мкр, 14",19e3,575.7575757575758,Пушкино
3,24,https://balashikha.cian.ru/rent/flat/164085903/,40,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, район микрорайон 28, Первомайский проезд, 1",19e3,475,Балашиха городской округ
6,9,https://lyubertsy.cian.ru/rent/flat/164508279/,34,"Московская область, Люберецкий район, Люберцы, м. Лермонтовский проспект, Южная улица, 10",2e4,588.2352941176471,Люберцы
10,17,https://balashikha.cian.ru/rent/flat/164591984/,45,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, м. Щелковская, район микрорайон 28, Первомайская улица, 1",2e4,444.44444444444446,Балашиха городской округ
16,17,https://balashikha.cian.ru/rent/flat/154134855/,41,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, район Балашиха-2, Заречная улица, 4А",2e4,487.8048780487805,Балашиха городской округ
1,4,https://korolev.cian.ru/rent/flat/164606241/,41,"Московская область, Королев городской округ, Королев, район Подлипки, улица Циолковского, 16/23",2e4,487.8048780487805,Королев
13,17,https://balashikha.cian.ru/rent/flat/164032122/,39,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, район Южный, улица Твардовского, 22",2e4,512.8205128205128,Балашиха городской округ
16,17,https://balashikha.cian.ru/rent/flat/164060209/,43,"Московская область, Балашихинский район, Балашиха городской округ, Балашиха, район Новый свет, Солнечная улица, 23",2e4,465.1162790697674,Балашиха городской округ
2,16,https://mytishchi.cian.ru/rent/flat/164470785/,36,"Московская область, Мытищинский район, Мытищи городской округ, Мытищи, м. Медведково, район микрорайон 24, Олимпийский проспект, 18к2",2e4,555.5555555555555,Мытищи городской округ
12,17,https://zvenigorod.cian.ru/rent/flat/164465785/,37,"Московская область, Звенигород городской округ, Звенигород, Супонево мкр, к14",2e4,540.5405405405405,Звенигород
2,3,https://krasnogorsk.cian.ru/rent/flat/163542070/,26,"Московская область, Красногорский район, Красногорск, м. Тушинская, район Опалиха, улица Озерная, 54",2e4,769.2307692307693,Красногорск
